Date,Open,High,Low,Close,Volume,Adj Clos
2009-12-31,27.40,28.80,26.88,27.40,5092400,27.3
2009-12-30,28.51,28.86,27.45,27.50,6243500,27.4
2009-12-29,27.60,30.18,27.03,29.00,8755300,28.9
2009-12-28,26.88,27.86,26.79,27.66,5048800,27.6
2009-12-25,27.80,28.00,26.88,27.32,7673700,27.2
2009-12-23,22.55,25.08,22.41,25.08,5404100,25.0
2009-12-22,24.55,24.72,22.80,22.80,3822100,22.7
2009-12-21,24.38,25.18,24.30,24.69,3492300,24.6
2009-12-18,24.10,24.55,23.68,24.40,4533400,24.3
2009-12-17,26.50,26.75,24.70,24.97,5179900,24.9
2009-12-16,26.73,27.80,26.01,26.89,4352900,26.8
2009-12-15,27.00,27.36,26.60,27.06,3689300,27.0
2009-12-14,28.00,28.35,26.18,27.27,6649600,27.2
2009-12-11,30.30,31.50,28.39,28.98,12443500,28.9
2009-12-10,27.95,30.09,27.20,30.09,13131900,30.0
2009-12-09,27.35,27.84,26.90,27.35,6037100,27.3
2009-12-08,28.15,28.58,27.11,27.98,7513800,27.9
2009-12-07,27.32,29.99,27.32,28.60,7411300,28.5
2009-12-04,30.00,30.92,28.26,28.26,13015600,28.2
2009-12-03,30.00,31.85,29.48,31.40,13543900,31.3
2009-12-02,27.00,28.95,27.00,28.95,7031500,28.9
2009-11-26,24.43,26.32,24.40,26.32,14415800,26.2
2009-11-25,21.99,23.93,21.97,23.93,10543200,23.8
2009-11-24,22.20,22.63,21.01,21.75,15245700,21.7
2009-11-23,20.18,21.55,20.18,21.55,14386200,21.5
2009-11-20,18.54,19.99,18.40,19.59,12836600,19.5
2009-11-19,17.73,18.88,17.62,18.28,10615800,18.2
2009-11-18,17.32,17.93,17.23,17.73,6700200,17.7
2009-11-17,17.86,18.05,17.36,17.58,11355100,17.5
2009-11-16,16.85,17.85,16.55,17.38,17355400,17.3
2009-11-13,15.54,17.38,15.45,16.75,17421900,16.7
2009-11-12,15.37,16.36,15.05,15.90,17182400,15.8
2009-11-11,15.80,16.98,15.80,16.18,30840000,16.1
