Date,Open,High,Low,Close,Volume,Adj Clos
2012-01-20,11.94,12.36,11.94,12.22,189600,12.2
2012-01-19,11.90,11.94,11.55,11.91,114600,11.9
2012-01-18,11.95,12.16,11.60,11.61,196500,11.6
2012-01-17,11.35,12.15,11.35,12.07,161400,12.0
2012-01-16,11.78,11.80,11.31,11.45,116200,11.4
2012-01-13,12.48,12.50,11.82,11.89,250800,11.8
2012-01-12,12.57,12.70,12.40,12.56,215700,12.5
2012-01-11,12.50,12.78,12.50,12.62,223700,12.6
2012-01-10,12.09,12.62,12.00,12.60,433400,12.6
2012-01-09,11.71,12.16,11.51,12.11,283900,12.1
2012-01-06,11.73,11.75,11.35,11.65,201600,11.6
2012-01-05,12.29,12.29,11.52,11.61,309300,11.6
2012-01-04,13.00,13.06,12.31,12.33,316200,12.3
